application,approval,uid,gender,bal,prod_list,item,seq_len,label,brand_id,prod_id,age,mobile_level,item_price
0,1,887,1,11325,"44,96,50",99,3,1,712,76,50,4,600.61
0,1,1532,2,10185,"0,24,91",62,3,1,16,38,54,1,483.49
0,1,743,1,68248,"66,46,35",1,3,1,47,40,59,1,911.98
0,0,1847,2,28800,"11,93,60",75,3,1,238,4,40,1,292
0,1,902,2,51672,"44,73,45",36,3,1,928,82,26,2,918.89
0,1,1538,1,77261,"3,62,16",41,3,1,536,80,28,1,766.25
1,1,1878,2,79239,"82,52,64",66,3,1,827,6,49,4,29.95
0,1,1441,2,59910,"95,35,77",45,3,1,559,16,21,1,94.53
1,1,391,1,40668,"48,62,12",42,3,1,489,96,50,2,885.14
0,0,723,1,37328,"84,32,41",25,3,1,701,46,59,3,591.33
0,0,1337,2,54284,"34,21,91",51,3,1,835,48,45,3,318.56
1,0,1529,2,86784,"10,22,0",11,3,1,750,70,20,2,589.28
0,1,1368,1,42489,"23,36,24",55,3,1,119,19,56,3,290.75
1,1,1756,1,75867,"53,99,64",7,3,1,431,13,23,1,634.21
1,1,1111,2,18104,"10,4,73",89,3,1,599,22,22,3,657.35
1,0,1673,2,10722,"5,96,54",39,3,1,429,41,32,2,760.17
0,0,1412,2,71704,"71,1,31",41,3,1,463,49,36,1,948.9
1,1,53,2,85182,"51,63,3",21,3,1,80,61,30,3,852.78
0,1,382,2,70468,"11,30,84",99,3,1,459,15,50,2,651.15
1,0,1466,1,58896,"91,96,44",44,3,1,85,14,40,3,273.51
0,1,689,1,93439,"42,54,81",54,3,1,966,28,27,1,779.32
0,0,1551,2,89832,"46,54,72",59,3,1,542,64,50,2,780.61
0,0,837,2,13286,"77,41,52",63,3,1,785,72,57,1,999.12
1,0,1547,1,51950,"57,35,54",97,3,1,420,28,44,2,702.21
1,0,523,1,31059,"45,75,65",91,3,1,491,83,45,1,924.16
0,0,515,1,70261,"15,19,51",11,3,1,125,0,21,4,594
0,1,1624,2,61422,"63,24,48",71,3,1,448,73,33,2,23.3
1,1,0,1,26606,"86,52,84",80,3,1,725,34,27,4,372.07
1,0,1336,1,78711,"17,11,65",38,3,1,695,91,41,1,652.94
1,0,628,2,65085,"45,41,69",4,3,1,132,64,49,1,788.52
1,1,1265,1,50020,"99,42,37",100,3,1,845,32,19,2,136.51
1,1,1074,1,23188,"53,81,63",40,3,1,670,40,49,1,326.33
0,0,1917,1,62212,"31,49,48",73,3,1,862,51,23,1,346.68
1,0,1899,2,48239,"96,36,39",48,3,1,180,87,33,2,275.8
0,1,943,2,16418,"62,66,54",39,3,1,327,64,21,3,359.76
0,0,5,1,83441,"32,63,34",72,3,1,971,16,27,4,114.72
1,0,1956,1,91056,"86,87,48",49,3,1,927,19,26,2,542.72
1,0,187,1,75033,"42,77,84",54,3,1,319,79,22,4,750.27
1,1,1085,1,81013,"49,4,19",99,3,1,2,88,36,1,926.28
0,1,231,2,99962,"53,23,19",12,3,1,747,55,26,1,426.76
0,0,34,1,46325,"11,75,63",55,3,1,868,25,44,3,234.17
1,1,971,2,14848,"8,84,70",98,3,1,754,44,57,4,138.38
1,1,1841,1,71507,"7,62,84",41,3,1,795,19,38,2,20.27
0,0,1671,1,10982,"56,20,88",44,3,1,987,7,46,4,321.45
0,1,1570,2,98626,"77,63,88",90,3,1,554,35,18,3,529.79
1,0,190,1,61519,"34,85,41",21,3,1,931,39,24,1,20.44
0,0,1176,2,60597,"80,48,15",78,3,1,156,86,56,2,708.51
0,1,390,1,20425,"94,81,18",36,3,1,779,94,24,1,375.4
0,0,1157,1,58398,"67,25,11",71,3,1,281,7,48,3,515.44
1,0,1018,1,82403,"35,23,19",73,3,1,644,17,49,1,353.16
0,1,223,1,47454,"40,37,36",31,3,1,167,6,34,2,932.69
0,1,1151,2,86682,"67,13,60",45,3,1,909,2,45,4,235.64
0,1,1421,1,16138,"68,11,34",6,3,1,883,30,32,1,732.81
1,1,1360,2,19538,"36,44,8",81,3,1,84,20,40,3,359.92
0,0,121,1,78873,"60,98,56",57,3,1,203,83,18,2,696.66
0,1,1526,1,10307,"60,100,100",75,3,1,305,97,58,1,97.12
0,1,1349,2,58328,"53,17,67",60,3,1,823,27,43,3,316.45
0,1,872,1,25425,"27,49,69",12,3,1,784,97,29,3,403.21
1,0,463,1,80105,"68,77,78",68,3,1,400,80,45,3,847.59
0,0,910,1,57661,"71,29,10",100,3,1,122,14,46,4,230.98
0,1,206,1,38498,"23,83,20",41,3,1,826,43,41,3,652.64
0,0,1923,1,27873,"57,40,81",39,3,1,714,37,36,2,512.59
0,1,1787,1,93524,"65,4,57",34,3,1,110,90,21,1,9.24
0,1,221,2,86859,"4,27,34",14,3,1,829,85,50,3,652.08
1,1,1005,2,76284,"22,46,19",72,3,1,809,6,30,2,800.15
0,0,1095,2,52585,"2,3,49",30,3,1,589,12,23,2,816.18
1,1,459,2,97805,"88,35,90",94,3,1,379,35,33,3,441.85
0,1,1729,1,11574,"64,22,59",58,3,1,746,91,25,4,816.07
0,1,354,1,32633,"10,42,85",42,3,1,123,76,45,3,667.04
0,0,1581,1,86135,"1,22,76",88,3,1,534,45,56,2,960.34
1,1,1141,2,96511,"0,35,90",80,3,1,308,11,32,1,605.63
1,1,269,2,62846,"24,50,66",70,3,1,832,61,50,3,805.52
0,0,59,1,36609,"85,63,6",23,3,1,981,67,20,1,792.09
1,1,1954,2,63950,"10,62,11",82,3,1,156,13,41,3,52.56
1,1,1584,1,87102,"52,8,42",9,3,1,386,75,28,3,124.48
1,0,240,1,93120,"2,61,23",46,3,1,399,92,28,2,773.43
1,0,488,1,23941,"71,63,48",24,3,1,381,39,46,1,460.26
0,0,1790,2,36200,"58,59,3",61,3,1,854,91,22,1,447.36
1,1,849,1,14594,"29,30,99",2,3,1,27,22,40,2,830.21
1,1,1902,1,60921,"100,55,88",93,3,1,487,95,52,3,410.75
0,1,1205,1,69233,"91,100,60",38,3,1,534,84,28,3,586.78
1,0,446,1,40831,"2,12,24",17,3,1,415,26,42,4,92.02
0,0,1984,1,26901,"32,25,69",20,3,1,969,57,35,1,173.24
1,1,732,1,75840,"25,14,76",16,3,1,528,93,55,3,871.09
1,0,47,1,89699,"43,26,39",49,3,1,351,36,18,1,523.44
1,0,904,2,38482,"89,62,10",85,3,1,327,82,40,4,581.27
1,1,171,2,98265,"69,99,18",63,3,1,712,29,19,2,816.66
0,1,493,2,17409,"78,43,39",26,3,1,774,27,21,4,590.32
0,1,150,2,57884,"91,8,66",20,3,1,586,5,45,4,991.22
0,1,1006,1,98638,"8,67,34",19,3,1,733,95,33,2,354.98
1,0,1611,2,78911,"80,97,65",73,3,1,820,60,30,2,363.74
0,1,1841,2,10252,"40,16,83",52,3,1,149,76,24,3,705.95
1,0,411,1,79665,"11,3,71",63,3,1,913,33,22,1,514.87
0,0,1870,2,58455,"8,49,34",2,3,1,365,16,55,2,73.75
0,0,1005,2,26667,"21,90,42",44,3,1,997,12,51,4,89.71
1,1,43,2,38355,"5,10,79",85,3,1,948,40,29,4,520.15
1,1,702,1,83617,"56,84,30",37,3,1,292,83,58,1,363.83
0,1,1565,1,81771,"18,5,33",66,3,1,822,25,30,1,771.51
1,0,203,2,78588,"79,75,76",35,3,1,400,66,21,2,508.47
1,0,599,1,21845,"68,83,80",66,3,1,835,64,44,4,813.06
0,1,643,1,49199,"29,99,33",22,3,1,448,45,55,2,635.7
0,0,974,2,23866,"48,35,56",52,3,1,806,13,47,2,555.91
1,1,1059,1,84761,"71,92,35",6,3,1,689,53,40,2,940.77
0,1,1258,1,72164,"75,92,12",83,3,1,513,13,54,2,242.66
1,0,1169,1,93454,"61,2,48",1,3,1,331,14,26,1,314.2
1,1,1954,1,51628,"51,43,87",8,3,1,948,74,27,3,958.57
1,1,1730,2,14401,"1,96,66",28,3,1,605,46,41,3,210.28
1,0,1538,1,47804,"30,73,20",31,3,1,502,93,42,2,533.35
0,1,1754,2,96059,"7,74,91",92,3,1,791,27,26,4,860.1
1,0,72,2,62460,"7,18,41",47,3,1,262,43,58,1,146.59
0,1,1581,1,32054,"27,95,73",42,3,1,101,12,51,4,916.99
0,1,1143,2,40763,"83,84,95",23,3,1,211,9,36,2,562.94
1,0,1221,2,78863,"2,56,73",51,3,1,562,37,41,3,832.71
1,0,42,2,18883,"96,3,79",44,3,1,69,40,32,4,499.23
1,0,510,1,19662,"33,69,73",77,3,1,80,3,18,1,213.68
1,1,1498,2,20577,"56,46,64",8,3,1,186,30,29,1,358.21
1,1,1297,1,77865,"0,7,93",14,3,1,907,33,55,2,230.39
1,0,1214,1,73709,"27,9,98",35,3,1,568,58,55,1,467.7
0,0,697,1,73380,"23,47,82",10,3,1,282,29,44,2,739.13
1,1,1081,1,56948,"45,98,13",79,3,1,181,8,26,4,886.85
1,0,1947,1,83583,"10,77,91",62,3,1,518,82,34,3,71.33
1,1,485,1,27029,"23,52,46",71,3,1,81,85,34,4,848.23
0,0,1460,1,80533,"54,93,46",81,3,1,239,75,47,4,192.41
0,0,585,1,16894,"27,98,50",97,3,1,431,76,29,4,927.63
0,1,967,2,83237,"64,42,21",100,3,1,963,3,39,1,884.04
0,0,1678,1,32350,"2,17,99",69,3,1,56,17,32,4,815.35
0,0,1904,1,14733,"65,76,63",33,3,1,760,8,49,4,631.45
0,1,987,2,37026,"40,28,94",67,3,1,474,23,25,3,507.28
0,1,1276,1,51184,"81,78,84",96,3,1,664,42,34,2,759.83
0,1,162,2,18333,"44,19,9",12,3,1,921,28,25,2,454.81
1,0,262,1,33650,"77,2,19",50,3,1,321,39,41,3,538.9
0,0,1744,2,99021,"36,79,82",16,3,1,703,71,47,2,41.99
0,1,1535,1,34133,"0,64,66",15,3,1,808,98,48,3,307.09
0,1,136,1,91202,"97,81,15",44,3,1,70,65,54,2,40.54
0,0,980,1,88842,"70,15,63",28,3,1,801,58,22,3,886.8
0,0,238,2,48995,"91,23,58",11,3,1,770,47,19,1,443.16
0,0,1139,1,89712,"72,0,32",14,3,1,956,1,60,1,10.67
0,1,1907,1,67765,"47,65,52",54,3,1,904,72,56,3,817.47
0,1,661,1,57344,"47,81,23",26,3,1,768,23,27,2,494.72
1,1,858,1,15602,"92,36,20",21,3,1,834,26,42,3,352.98
1,0,200,1,82776,"75,11,30",62,3,1,862,54,28,3,319.49
0,1,875,1,28436,"63,64,62",97,3,1,770,73,21,4,521.19
0,1,1493,2,20659,"96,64,67",43,3,1,154,45,40,4,268.04
0,0,1981,1,63845,"34,88,11",74,3,1,111,85,31,2,106.02
1,0,1091,1,72189,"93,17,46",76,3,1,462,62,22,1,370.14
0,1,1962,2,78012,"71,47,56",95,3,1,224,74,39,3,98.7
0,0,1192,2,41454,"52,71,92",67,3,1,994,43,59,2,196.1
1,0,1826,2,15034,"52,54,18",50,3,1,557,33,28,1,322.98
1,1,1518,2,54980,"63,15,37",76,3,1,121,0,37,4,518.23
0,1,177,1,63873,"75,79,8",74,3,1,528,42,25,2,941.93
1,0,1836,2,54763,"70,68,93",15,3,1,454,23,24,1,865.3
1,1,1535,2,27204,"5,5,65",45,3,1,412,57,54,1,583.64
0,1,1638,1,41874,"79,7,63",50,3,1,966,22,33,4,386.28
1,1,694,2,92558,"39,99,9",21,3,1,249,70,26,2,655.63
1,1,1064,1,70838,"39,69,99",64,3,1,10,29,45,4,359.07
0,1,319,2,24360,"52,75,74",97,3,1,321,82,41,1,574.64
1,0,188,2,28585,"68,68,6",22,3,1,319,92,53,1,866.87
1,1,1495,1,66584,"30,78,16",79,3,1,526,5,56,3,908.92
1,0,108,1,77104,"62,34,38",100,3,1,478,20,51,1,279.04
0,0,1689,1,52377,"72,0,73",66,3,1,95,95,57,3,258.29
0,0,1330,1,87480,"88,34,30",17,3,1,28,12,52,4,967.2
1,0,1178,1,16856,"64,45,4",75,3,1,682,64,34,1,574.16
0,1,1181,2,12554,"33,77,78",44,3,1,301,87,44,3,495.86
0,0,1885,1,47865,"34,58,97",61,3,1,745,7,60,3,422.18
1,1,1732,2,64430,"85,65,38",8,3,1,106,96,26,4,830.29
1,0,444,1,63999,"15,54,44",62,3,1,116,40,60,2,204.03
1,0,905,1,66107,"72,22,21",79,3,1,579,27,35,1,955.43
0,0,165,1,89892,"0,37,77",25,3,1,93,52,57,2,667.15
0,1,1880,2,34740,"45,0,64",7,3,1,817,41,30,2,764.55
1,1,1773,2,55574,"33,64,32",11,3,1,717,19,20,3,271.37
0,0,1179,2,45920,"93,25,37",14,3,1,679,90,25,3,212.03
1,1,1660,2,85676,"87,93,19",84,3,1,801,62,20,1,450.58
1,0,53,2,34688,"86,61,91",83,3,1,153,49,28,3,521.61
0,1,1202,2,52263,"44,43,67",58,3,1,537,72,41,4,971.42
0,0,1071,1,10289,"6,98,76",79,3,1,513,82,44,3,904.47
0,1,933,1,54268,"91,47,48",11,3,1,731,76,26,1,880.28
1,1,1380,1,21129,"18,82,76",36,3,1,464,12,38,2,507.51
1,1,534,1,74543,"59,27,44",46,3,1,963,1,20,2,59.73
0,1,1336,1,25317,"2,59,100",90,3,1,493,7,38,3,27.73
0,0,1781,2,37483,"35,90,92",85,3,1,738,24,28,4,160.84
1,1,1850,1,96187,"81,98,67",39,3,1,79,85,22,3,367.9
0,0,239,2,81171,"26,33,61",84,3,1,458,82,34,3,28.53
0,1,1585,1,64158,"24,19,78",25,3,1,942,50,33,1,485.32
0,0,1507,1,11358,"86,15,54",53,3,1,120,31,43,4,907.71
0,0,1035,2,61878,"55,38,84",83,3,1,629,70,26,2,702.87
0,1,140,1,49150,"27,38,34",4,3,1,300,88,56,2,934
1,1,627,2,62974,"63,67,21",72,3,1,740,27,31,1,360.83
0,0,248,1,25536,"92,38,82",10,3,1,964,63,20,2,783.8
0,1,968,2,13365,"12,17,89",26,3,1,785,5,37,1,908.22
1,0,424,1,69099,"21,47,82",8,3,1,173,18,57,2,996.69
1,0,57,2,92336,"60,4,1",11,3,1,577,81,20,3,433.74
1,1,494,2,14381,"46,78,46",36,3,1,118,17,42,2,221.55
1,1,1053,1,69210,"99,92,36",58,3,1,811,74,36,3,418.98
0,1,300,2,49507,"50,32,67",70,3,1,312,15,42,3,218.78
0,0,978,1,61445,"73,69,59",86,3,1,898,98,43,3,571.07
0,0,1529,2,22070,"15,39,12",57,3,1,906,93,59,4,34.29
1,0,1462,2,49538,"88,42,67",45,3,1,721,36,44,4,961.34
1,0,1491,1,50082,"96,99,49",35,3,1,844,3,18,4,99.82
1,1,496,2,71342,"29,67,88",9,3,1,70,87,49,1,885.56
0,1,130,2,12295,"30,37,41",67,3,1,148,99,31,1,826.58
0,1,1795,1,36477,"79,61,94",98,3,1,285,71,56,4,385.69
1,0,227,1,63912,"58,57,65",61,3,1,861,40,58,3,501.05
1,0,713,1,13351,"20,86,84",15,3,1,462,11,39,3,808.6
0,0,1310,1,40194,"11,54,81",81,3,1,997,7,26,2,849.83
0,0,1468,1,66144,"70,92,57",95,3,1,198,51,26,3,36.16
1,1,1746,2,52636,"16,13,15",54,3,1,640,38,26,2,456.17
0,0,972,1,34212,"87,35,19",3,3,1,343,25,58,3,81.21
1,0,650,2,73189,"20,5,74",14,3,1,411,28,35,1,55.88
1,1,1027,1,29949,"81,28,2",44,3,1,200,68,30,1,46.15
1,0,1703,1,95830,"13,27,88",36,3,1,314,5,31,4,524.11
0,1,1963,2,94144,"96,61,1",2,3,1,99,91,37,1,675.84
1,1,873,1,31746,"71,35,74",95,3,1,750,30,19,3,415.37
0,0,1578,2,56556,"14,17,67",27,3,1,458,25,32,2,23.64
0,0,210,2,50536,"72,58,29",40,3,1,404,8,42,1,285.91
0,1,1959,1,90871,"68,52,38",84,3,1,360,52,35,4,675.87
0,0,154,1,36073,"59,46,40",5,3,1,301,40,57,2,658
0,0,1313,2,16602,"14,27,5",86,3,1,711,53,28,3,764.94
0,1,988,1,23063,"38,64,87",24,3,1,664,47,21,3,77.63
1,0,1575,2,32815,"23,2,78",12,3,1,617,62,42,1,430.43
0,1,1521,2,80327,"67,14,35",50,3,1,414,70,22,1,589.66
1,0,1151,1,11139,"87,55,100",97,3,1,530,42,37,3,31.49
1,0,1436,1,50081,"62,12,25",8,3,1,357,78,47,4,731.25
1,1,856,1,79733,"53,78,92",94,3,1,39,90,46,3,526.11
0,1,1168,2,84478,"85,42,32",23,3,1,789,16,36,3,118.73
1,0,634,2,48191,"15,26,69",77,3,1,389,6,46,4,650.57
0,1,813,1,97683,"50,90,89",50,3,1,280,12,22,2,358.18
1,0,1299,1,75174,"12,32,44",25,3,1,693,24,34,3,992.69
0,1,1370,2,38303,"83,16,63",98,3,1,162,92,32,4,281.85
1,1,1296,2,58825,"83,75,98",76,3,1,26,56,36,2,551.56
0,0,1069,1,43494,"14,19,2",24,3,1,252,64,26,4,995.6
0,1,1611,2,93293,"44,74,93",69,3,1,280,3,29,2,593.36
1,1,945,1,89783,"82,53,41",1,3,1,125,45,32,3,184.72
1,1,287,2,77981,"7,53,2",28,3,1,566,35,33,1,120.28
0,0,389,2,31164,"75,72,86",66,3,1,687,69,53,1,311.77
0,0,1518,2,20021,"68,54,22",77,3,1,263,60,31,3,339.6
0,0,1720,2,96944,"87,91,36",93,3,1,18,85,24,2,315.39
1,1,1161,1,11206,"58,5,93",76,3,1,104,12,51,4,846.53
1,0,1964,1,21175,"36,53,86",49,3,1,294,79,49,4,744.11
1,0,916,1,75959,"33,70,65",78,3,1,963,22,29,2,443.54
0,0,602,2,82062,"25,4,73",86,3,1,422,83,19,2,959.2
1,0,1950,2,41520,"63,50,11",7,3,1,95,22,42,3,13.17
0,0,1301,1,33367,"4,82,100",61,3,1,683,0,32,4,958.65
1,0,219,2,94013,"64,12,50",12,3,1,115,83,32,4,44.51
0,1,694,2,49242,"25,77,84",53,3,1,465,68,27,1,444.62
1,0,392,1,61594,"46,70,16",3,3,1,509,26,28,3,103.74
1,0,6,1,67523,"49,24,84",6,3,1,391,84,40,2,292.54
0,1,375,2,43658,"92,86,94",6,3,1,426,71,21,4,831.03
0,1,1107,1,64948,"45,81,63",52,3,1,453,61,51,1,456.77
0,1,93,2,56024,"78,1,43",30,3,1,684,82,59,2,146.68
1,1,1528,1,39489,"57,76,43",73,3,1,784,20,38,3,852.78
1,0,1961,2,60380,"11,28,89",51,3,1,630,14,36,4,345.14
1,0,1958,2,89268,"11,85,70",63,3,1,8,19,53,4,408.52
0,1,1749,1,87080,"8,79,12",16,3,1,848,41,49,1,548.2
1,0,792,2,52606,"35,11,6",92,3,1,561,13,47,2,141.35
1,1,1473,1,33686,"76,8,51",71,3,1,997,93,39,4,808.7
1,1,746,1,66880,"94,77,8",46,3,1,21,51,55,1,332.01
1,0,789,1,12502,"10,29,53",23,3,1,590,15,46,3,535.85
1,1,1381,2,63540,"74,93,58",55,3,1,894,37,51,1,722.14
0,1,1598,1,67031,"4,75,95",32,3,1,704,17,26,2,295.46
1,0,564,2,99538,"17,0,14",13,3,1,538,8,29,2,331.8
1,0,591,1,32992,"25,32,22",19,3,1,315,94,47,2,383.59
1,1,1410,2,51342,"44,55,86",64,3,1,120,96,43,4,446.8
1,0,220,2,52465,"42,38,88",18,3,1,939,26,55,3,601.35
0,1,350,1,17752,"60,76,39",24,3,1,217,61,59,4,827.95
0,0,946,1,34357,"47,89,75",12,3,1,728,28,33,1,825
1,1,987,1,16653,"93,55,80",98,3,1,223,82,50,3,894.51
0,1,1107,2,37297,"26,75,90",29,3,1,410,11,52,1,627.6
1,1,875,1,13957,"25,20,6",7,3,1,205,6,24,4,123.6
1,0,973,1,82010,"30,24,65",48,3,1,170,94,46,2,150.47
1,1,1165,2,78758,"34,13,30",68,3,1,242,6,22,1,155.38
1,1,189,1,17261,"59,100,15",9,3,1,744,9,23,3,877.93
0,1,389,1,34760,"55,79,87",38,3,1,774,36,53,2,895.65
0,1,847,2,36931,"54,19,7",8,3,1,728,63,23,4,880.22
0,0,317,1,95727,"91,28,88",60,3,1,177,17,19,4,432.99
0,1,158,2,97281,"68,23,10",91,3,1,986,4,52,1,925.92
0,1,32,1,77681,"26,39,25",45,3,1,426,30,25,2,30.91
0,0,1675,1,78425,"100,24,60",33,3,1,372,57,45,1,25.25
1,0,1073,2,83910,"60,91,18",78,3,1,229,85,27,2,662.89
0,1,128,1,58845,"37,32,0",94,3,1,284,40,50,4,980.23
1,1,457,1,94243,"14,28,97",43,3,1,414,87,29,4,911.74
1,1,1093,1,14146,"63,38,4",95,3,1,292,20,25,1,714.04
0,1,1441,1,42418,"16,6,91",87,3,1,904,83,26,4,671.37
1,0,1389,2,39551,"73,14,5",49,3,1,87,58,33,4,209.18
0,1,354,1,45477,"63,57,86",12,3,1,808,54,58,1,425.65
0,1,945,1,40046,"44,10,54",25,3,1,32,75,23,1,550.32
1,1,629,2,70044,"5,23,52",66,3,1,585,9,23,3,531.87
0,1,347,1,71130,"88,83,52",74,3,1,389,57,47,1,492.2
0,1,1201,2,14556,"68,63,25",38,3,1,745,45,27,2,465.5
1,0,271,2,74623,"61,50,52",75,3,1,48,69,51,1,450.03
1,0,1140,1,51284,"92,58,24",40,3,1,411,79,38,1,927.6
1,0,682,1,81672,"27,1,91",57,3,1,962,73,35,2,392.43
0,0,1724,1,79688,"50,83,53",3,3,1,292,1,52,1,196.2
0,1,267,2,36075,"70,17,61",68,3,1,495,32,54,3,177.67
1,1,56,2,65395,"44,17,5",87,3,1,85,30,53,2,940.08
0,1,1950,1,93468,"38,55,66",26,3,1,91,14,60,1,515.12
1,1,1119,2,80196,"3,86,11",76,3,1,416,39,20,4,847.63
0,0,167,1,80858,"52,9,65",32,3,1,336,66,36,1,447.2
0,0,1045,2,16795,"27,48,69",11,3,1,144,54,41,2,162.04
0,1,1694,2,25048,"68,54,39",87,3,1,538,67,24,4,271.53
0,0,1867,1,90945,"40,59,47",40,3,1,512,35,38,1,371.14
0,1,1977,2,40252,"98,1,65",84,3,1,78,47,34,3,807.28
1,0,345,1,37262,"23,68,33",6,3,1,361,17,20,2,593.24
1,0,965,1,39735,"60,61,74",48,3,1,538,22,38,4,939.31
0,1,825,1,94753,"78,39,74",83,3,1,112,50,26,4,840.19
0,0,353,2,90959,"11,98,54",4,3,1,483,71,44,4,676.68
0,0,1179,2,61280,"79,77,29",26,3,1,119,60,28,1,527.05
1,1,528,1,96267,"36,38,42",16,3,1,694,69,28,2,550.34
0,1,551,1,73031,"63,19,60",47,3,1,536,25,22,4,254.07
1,1,417,1,90229,"5,25,82",76,3,1,899,14,42,3,160.42
0,0,1739,2,30118,"50,95,89",88,3,1,384,16,28,2,851.5
1,0,356,1,53364,"48,81,21",4,3,1,965,23,34,1,114.83
0,1,482,2,22937,"60,19,55",92,3,1,781,83,22,3,177.75
1,1,490,2,52573,"36,58,1",81,3,1,981,99,57,3,651.19
1,1,1389,1,90322,"75,47,80",44,3,1,801,24,45,2,772.6
1,0,320,2,79042,"77,42,66",74,3,1,999,87,60,1,257.44
1,0,1013,1,83559,"69,14,68",74,3,1,704,89,19,3,159.03
0,0,189,2,81395,"98,86,30",19,3,1,327,34,50,2,205.77
0,0,774,2,36501,"23,61,94",35,3,1,275,19,57,1,260.61
1,1,950,1,69664,"54,0,72",95,3,1,521,1,53,4,22.48
1,1,434,1,65962,"21,22,24",53,3,1,8,32,23,1,188
0,0,1823,2,33871,"42,60,46",21,3,1,534,35,40,3,385.33
1,1,1857,1,87564,"28,88,29",27,3,1,400,78,38,4,577.46
1,0,1204,2,27129,"72,22,23",66,3,1,609,21,50,3,73.86
0,0,691,2,70809,"93,83,64",36,3,1,828,60,36,2,583.55
1,0,932,2,53037,"60,97,84",94,3,1,502,43,20,2,377.21
1,0,2,2,97968,"29,73,49",47,3,1,212,82,44,4,435.32
0,1,1900,2,67227,"33,40,90",79,3,1,875,38,25,4,536.95
1,0,1598,1,86082,"63,81,15",79,3,1,702,31,58,4,334.05
